iter	Passed	Remaining
209	1118	4207
210	1122	4197
211	1126	4186
212	1129	4173
213	1135	4169
214	1138	4156
215	1141	4143
216	1145	4132
217	1151	4131
218	1154	4118
219	1158	4105
220	1164	4103
221	1167	4092
222	1170	4079
223	1175	4071
224	1179	4064
225	1183	4051
226	1186	4039
227	1190	4030
228	1194	4021
229	1198	4012
230	1201	4001
231	1207	3996
232	1210	3984
233	1214	3974
234	1218	3965
235	1222	3956
236	1225	3946
237	1228	3934
238	1237	3940
239	1241	3930
240	1246	3926
241	1251	3920
242	1255	3910
243	1258	3899
244	1264	3896
245	1268	3886
246	1271	3874
247	1274	3865
248	1279	3859
249	1282	3848
250	1286	3838
251	1290	3829
252	1294	3820
253	1297	3810
254	1300	3799
255	1305	3794
256	1310	3787
257	1313	3777
258	1317	3768
259	1321	3762
260	1325	3753
261	1329	3744
262	1333	3736
263	1336	3727
264	1340	3717
265	1343	3708
266	1348	3702
267	1352	3694
268	1356	3685
269	1359	3675
270	1365	3672
271	1369	3664
272	1372	3654
273	1376	3647
274	1380	3640
275	1384	3631
276	1393	3638
277	1397	3630
278	1400	3620
279	1404	3612
280	1409	3606
281	1413	3597
282	1416	3587
283	1422	3586
284	1426	3578
285	1429	3569
286	1433	3560
287	1436	3551
288	1441	3546
289	1444	3536
290	1448	3529
291	1453	3524
292	1456	3515
293	1459	3505
294	1464	3499
295	1468	3491
296	1472	3484
297	1475	3475
298	1480	3471
299	1483	3462
300	1487	3453
301	1491	3446
302	1495	3440
303	1498	3431
304	1502	3422
305	1505	3415
306	1511	3413
307	1515	3404
308	1518	3395
309	1523	3389
310	1527	3382
311	1530	3374
312	1533	3365
313	1539	3362
314	1542	3354
315	1546	3346
316	1550	3340
317	1555	3335
318	1558	3326
319	1561	3317
320	1565	3311
321	1570	3307
322	1574	3299
323	1577	3291
324	1582	3286
325	1585	3278
326	1588	3270
327	1597	3272
328	1600	3265
329	1605	3260
330	1610	3254
331	1613	3245
332	1616	3237
333	1622	3235
334	1625	3227
335	1628	3219
336	1632	3211
337	1636	3204
338	1639	3197
339	1642	3189
340	1646	3182
341	1652	3178
342	1655	3170
343	1658	3162
344	1662	3155
345	1666	3150
346	1669	3142
347	1673	3134
348	1678	3130
349	1682	3123
350	1686	3117
351	1689	3109
352	1694	3106
353	1698	3098
354	1701	3091
355	1705	3085
356	1710	3079
357	1714	3074
358	1717	3066
359	1721	3060
360	1726	3055
361	1729	3048
362	1733	3041
363	1737	3035
364	1740	3028
365	1743	3020
366	1748	3015
367	1751	3008
368	1755	3001
369	1758	2994
370	1762	2988
371	1766	2982
372	1769	2975
373	1774	2969
374	1778	2963
375	1781	2957
376	1785	2949
377	1791	2947
378	1794	2940
379	1797	2933
380	1801	2926
381	1804	2920
382	1808	2913
383	1812	2907
384	1819	2906
385	1823	2900
386	1826	2893
387	1832	2889
388	1835	2883
389	1839	2876
390	1842	2869
391	1848	2867
392	1852	2860
393	1855	2853
394	1860	2849
395	1864	2843
396	1868	2837
397	1871	2830
398	1877	2827
399	1880	2820
400	1883	2813
401	1886	2806
402	1890	2801
403	1895	2795
404	1898	2789
405	1903	2785
406	1907	2779
407	1910	2772
408	1914	2765
409	1919	2761
410	1922	2755
411	1925	2748
412	1929	2742
413	1934	2738
414	1938	2732
415	1941	2725
416	1944	2718
417	1951	2717
418	1956	2712
419	1960	2707
420	1964	2702
