iter	Logloss
0	0.379377158
1	0.3788283335
2	0.3783742269
3	0.3778735929
4	0.3772467128
5	0.3769140681
6	0.3766079201
7	0.3762267148
8	0.3756502871
9	0.3751365834
10	0.3746798824
11	0.3745096834
12	0.3739720985
13	0.3734023854
14	0.3729805072
15	0.3723416006
16	0.3720087568
17	0.3716824743
18	0.3712359737
19	0.3709193609
20	0.3706914977
21	0.3702820531
22	0.3698242845
23	0.3694911577
24	0.3690218352
25	0.3686250183
26	0.3680171644
27	0.367528428
28	0.3672680298
29	0.3668877059
30	0.3663105073
31	0.3658345805
32	0.365371588
33	0.3649828054
34	0.3647929518
35	0.364474154
36	0.3639973936
37	0.3634639877
38	0.3631537508
39	0.3628916811
40	0.3624884623
41	0.3620843499
42	0.3616096236
43	0.3610468136
44	0.3604442539
45	0.3601842218
46	0.3597638903
47	0.3594200673
48	0.3590694118
49	0.3585880929
50	0.3583471294
51	0.357937228
52	0.3575759607
53	0.357295586
54	0.3568511747
55	0.3564224731
56	0.3560126199
57	0.3555727528
58	0.3552907387
59	0.3548460859
60	0.3543054857
61	0.3539662169
62	0.3536008243
63	0.3531804774
64	0.3528748698
65	0.3526817441
66	0.3524078301
67	0.3521039245
68	0.3518519563
69	0.3515680878
70	0.3513483286
71	0.3511150987
72	0.3507563646
73	0.3503969965
74	0.3500340837
75	0.3497950982
76	0.3494459503
77	0.3492051994
78	0.3489386192
79	0.3485916773
80	0.3482032005
81	0.3480196502
82	0.3476266424
83	0.347431397
84	0.3469113851
85	0.3465416405
86	0.3461938509
87	0.3457431259
88	0.3455844201
89	0.3452298184
90	0.344922726
91	0.3445759091
92	0.3441868586
93	0.3438284945
94	0.3434718812
95	0.34310175
96	0.3428810256
97	0.3425938801
98	0.3424064446
99	0.3421427698
100	0.341884893
101	0.3416275095
102	0.3412318018
103	0.3408634934
104	0.3406441572
105	0.3401678911
106	0.3398947577
107	0.3395737747
108	0.3391769637
109	0.3389897885
110	0.3387287924
111	0.3383533264
112	0.3379908089
113	0.3377786581
114	0.3375792378
115	0.3371743723
116	0.3369772942
117	0.3366859006
118	0.3363777461
119	0.3360677719
120	0.3358078932
121	0.3355934858
122	0.3354637537
123	0.3351101953
124	0.3349575709
125	0.3347485074
126	0.3344514816
127	0.3341342233
128	0.3338173857
129	0.3336196679
130	0.3332806759
131	0.3328910569
132	0.3326332022
133	0.3323554386
134	0.332197613
135	0.3319642292
136	0.3318007615
137	0.3316097997
138	0.3312592464
139	0.3309215493
140	0.3306097397
141	0.3303633891
142	0.3301282567
143	0.3298862868
144	0.3296035859
145	0.3291385074
146	0.3289065129
147	0.3285387041
148	0.328146051
149	0.3279794834
150	0.3276578014
151	0.327494676
152	0.3271257882
153	0.3269501216
154	0.3266255816
155	0.3263761501
156	0.325938646
157	0.32567273
158	0.3254102009
159	0.3252692163
160	0.3250702107
161	0.3247980244
162	0.3245744334
163	0.3244193298
164	0.3239817242
165	0.3236541086
166	0.3232494359
167	0.3229622168
168	0.3228500181
169	0.3226555961
170	0.3223528175
171	0.3221346917
172	0.3218858465
173	0.3215126426
174	0.3211454414
175	0.3209180282
176	0.3206081571
177	0.3203913062
178	0.320305789
179	0.3199307896
180	0.3197268437
181	0.319427805
182	0.3193019231
183	0.3191316335
184	0.3188812216
185	0.3186353544
186	0.3182822921
187	0.3180006965
188	0.3177174811
189	0.3174984347
190	0.31720198
191	0.3170622795
192	0.3169184497
193	0.3166567608
194	0.3164586855
195	0.3162016948
196	0.3159876342
197	0.3156825651
198	0.3152749768
199	0.3150580528
200	0.3148402024
201	0.3145628421
202	0.3143523943
203	0.3141656496
204	0.3139277595
205	0.3138908689
206	0.3136658534
207	0.3135074185
208	0.3133046093
209	0.3132076297
210	0.3131159414
211	0.3130212353
212	0.3128847586
213	0.3127064387
214	0.3124481217
215	0.3122445537
216	0.3120883067
217	0.3119654095
218	0.3115861681
219	0.3113379871
220	0.3111703255
221	0.3110449857
222	0.3109015884
223	0.3106629045
224	0.3104402732
225	0.310168155
226	0.3099699349
227	0.3098885134
228	0.3095844485
229	0.3094384829
230	0.3092529889
231	0.309158181
232	0.3090140451
233	0.3088343199
234	0.3087191383
235	0.308501556
236	0.3083370156
237	0.3080709089
238	0.3079256336
239	0.3076057578
240	0.3073413244
241	0.3071055743
242	0.30695399
243	0.3067052179
244	0.3065465943
245	0.3063188723
246	0.3061573015
247	0.3057667657
248	0.3055809557
249	0.3052664324
250	0.3051082699
251	0.3050108627
252	0.3048573004
253	0.3045698071
254	0.3044172967
255	0.3041806153
256	0.3040129531
257	0.3037736573
258	0.3034978271
259	0.3033611936
260	0.3030977958
261	0.3028347254
262	0.3026825035
263	0.302446755
264	0.3022247052
265	0.3021411715
266	0.3020384223
267	0.3019085756
268	0.3017662296
269	0.3016234568
270	0.301448813
271	0.3012133428
272	0.3010942042
273	0.3009944993
274	0.3006147054
275	0.3003912656
276	0.3002267387
277	0.3001142274
278	0.2999437195
279	0.2998054354
280	0.2995904293
